file_name,sheet_name,header_row,column_number,column_letter,header
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,2,B,이름
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,3,C,이메일
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,4,D,소속
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,5,E,담당 자산 읽기 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,6,F,담당 자산 추가 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,7,G,담당 자산 수정 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,8,H,담당 자산 삭제 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,9,I,기타 자산 읽기 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,10,J,기타 자산 추가 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,11,K,기타 자산 수정 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,12,L,기타 자산 삭제 권한
260513_담당자별 권한 부여_수식 제거.xlsx,Sheet1,3,13,M,담당 자산코드
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Meta_데이터 항목 설명,2,2,B,항목 번호
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Meta_데이터 항목 설명,2,3,C,항목
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Meta_데이터 항목 설명,2,4,D,Data Type
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Meta_데이터 항목 설명,2,5,E,단위
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Meta_데이터 항목 설명,2,6,F,시계열 누적
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Meta_데이터 항목 설명,2,7,G,샘플 데이터
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Meta_데이터 항목 설명,2,8,H,항목별 설명 및 고려사항 (특이사항 빨간색으로 표기)
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_일반,8,17,Q,값복사 - 이 값 사용 예정
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_일반,8,21,U,수식 - 이 값 안 사용
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_일반,8,24,X,체크
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_일반,8,70,BR,▼ 아래 11개 항목은 임차인 요구 스펙을 작성해주십시오. 별도 요구 스펙이 없을 경우 현 스펙을 작성해주십시오.
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,2,B,펀드코드
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,3,C,펀드명
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,4,D,자산명
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,5,E,자산코드
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,6,F,섹터
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,7,G,임차인명
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,8,H,임차인 사업자번호
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,9,I,저온창고 여부
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,10,J,임차 층
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,11,K,임차 세부 구역
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,12,L,임대면적
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,13,M,전용면적
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,14,N,기준일자
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,15,O,임대료 변동 원인
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,16,P,월임대료 총액
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,17,Q,월관리비 총액
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,18,R,평당 월임대료
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,DB_히스토리 누적,10,19,S,평당 월관리비
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Log,2,2,B,Check Log
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,Log,2,9,I,담당자 확인
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,자산_담당자 연결,3,2,B,자산코드
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,자산_담당자 연결,3,3,C,자산명
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,자산_담당자 연결,3,4,D,펀드코드
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,자산_담당자 연결,3,5,E,펀드명
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,자산_담당자 연결,3,6,F,담당자
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,자산_담당자 연결,3,7,G,소속
★ 260414_물류센터 임대차계약 DB_취합본.xlsx,자산_담당자 연결,3,8,H,이메일 주소
